ID;Name;Age;Gender;City;Country;CreditCard;FullAddress;UserSignUpDate;UserLastPurchaseDate;UserStatus;UserTotalPurchases;UserSegment;UserLocation;UserSourceType;UserLastLoginDate;UserPurchaseFrequency;ProductName;Category;Subcategory;Price;DatePurchase;Quantity;Rating;Comment
252;MISTY JOHNSON;0;F;SOUTH ELIZABETHFURT;ARUBA;2281589619450891;29153 Sharon Well Apt. 593, Burkeburgh, UT 97759;2022-11-09;2022-12-18;Churned;2;occasional shopper;COLONMOUTH;REFERRAL;2023-06-08;YEARLY;SPEAKERPRO;ELECTRONICS;SPEAKER;95;2023-01-29;8;0;Travel almost wear third pay property mind.
253;CYNTHIA JOHNSTON;59;F;PORT AMBER;UNITED KINGDOM;2453898309081706;6890 Elizabeth Forest Apt. 774, North Sarahchester, NM 10003;2022-12-01;2023-04-29;Churned;2;occasional shopper;CAMPOSCHESTER;PAID ADS;2023-06-20;YEARLY;SPEAKERPRO;ELECTRONICS;SPEAKER;82;2023-05-16;4;0;Shoulder physical allow man current southern five everything.
254;HARRY HOPKINS DVM;0;M;PORT SCOTT;NEW ZEALAND;5327735313150381;25021 Davis Harbor Suite 157, North Davidport, VT 59756;2022-11-25;2023-04-09;Churned;15;high value;NEW MICHELLE;PAID ADS;2023-05-13;YEARLY;TABLEDELUXE;FURNITURE;TABLE;497;2022-09-03;4;3;Person sound election paper senior.
255;WILLIAM GRIFFIN;0;F;ATKINSONVIEW;SOUTH GEORGIA AND THE SOUTH SANDWICH ISLANDS;5565890870828829;3595 Ronald Freeway, Weberchester, NV 76516;2021-10-02;2022-02-28;Churned;6;frequent shopper;KELLYMOUTH;ORGANIC SEARCH;2022-09-25;RARELY;FRESHSNACKS;GROCERY;SNACKS;59;2022-04-23;2;2;Actually help especially time record believe machine.
256;MELISSA COLE MD;95;M;EAST SANDRA;KAZAKHSTAN;2225539796904755;6192 Baker Haven, Thompsonberg, MT 97750;2022-05-09;2023-04-05;Churned;1;occasional shopper;EAST MARC;REFERRAL;2023-08-16;YEARLY;SHIRTWEAR;CLOTHING;SHIRT;805;2023-01-03;4;1;Inside provide audience have discussion.
257;MICHAEL CALDERON;21;F;ALVARADOBURY;TANZANIA;5265319370617816;97368 Duffy Brooks, West Paula, SC 94641;2022-03-27;2022-07-20;Churned;1;occasional shopper;PORT SARA;ORGANIC SEARCH;2022-08-21;RARELY;SHIRTFITS;CLOTHING;SHIRT;84;2022-06-20;5;3;Stop lawyer attorney theory after.
258;MELANIE MADDEN DDS;0;M;JEFFERYFORT;TUVALU;2276536313230159;15324 Fuentes Springs, South Amandamouth, CO 53044;2021-11-11;2021-11-11;Churned;14;high value;EAST KELLY;ORGANIC SEARCH;2022-01-20;RARELY;CHAIRDELUXE;FURNITURE;CHAIR;637;2022-06-29;3;1;May charge bad scientist career.
259;DANIELLE BERG;0;M;NORTH CYNTHIABURGH;SWAZILAND;2283451366495652;213 David Forest Suite 735, Mckinneymouth, WI 03386;2023-05-03;2023-07-16;Active;15;high value;PORT CHASEMOUTH;PAID ADS;2023-08-21;YEARLY;SNACKSBURST;GROCERY;SNACKS;57;2022-05-06;4;1;Real environmental second example radio as civil.
260;LOGAN RODRIGUEZ;25;M;SMITHLAND;SOLOMON ISLANDS;5140269617879441;549 Allen Estates Apt. 012, Daviston, OH 88394;2021-09-08;2023-02-14;Churned;5;occasional shopper;CRYSTALHAVEN;REFERRAL;2023-07-10;YEARLY;UNKNOWN;CLOTHING;JACKET;196;2021-03-22;2;0;Likely choice lay begin defense truth trouble.
261;ANGELA WOLFE;70;F;NORTH JANE;BRAZIL;2720830985896575;74825 Hayes Shore Apt. 789, Lake Susan, DE 14929;2023-03-31;2023-04-04;Churned;6;frequent shopper;SOUTH AMBERMOUTH;REFERRAL;2023-04-15;YEARLY;PANTSFITS;CLOTHING;PANTS;238;2021-08-05;7;6;However blood network herself reveal sound.
262;SHELLEY CASTANEDA;0;F;CHARLESTON;MACAO;2298743192729145;64392 Sarah Islands Apt. 677, New Michaelport, SC 51752;2023-03-07;2023-06-28;Active;9;frequent shopper;JANICEBURY;PAID ADS;2023-08-14;YEARLY;SNACKSBURST;GROCERY;SNACKS;376;2022-12-31;3;1;Term study cost together kind deal.
263;RENEE BASS;88;M;HERNANDEZSIDE;JERSEY;2226085105913961;3172 Carla Springs Suite 883, East Shawnview, RI 86716;2021-09-22;2023-04-01;Churned;5;occasional shopper;SHANNONHAVEN;ORGANIC SEARCH;2023-07-26;YEARLY;NON-FICTIONTALES;BOOKS;NON-FICTION;12;2022-09-06;6;2;Finish per begin whole community detail baby.
264;MATTHEW ALLISON;0;M;WILLIAMSHAVEN;BAHAMAS;5553111020813171;USNV Martin, FPO AE 02369;2022-01-31;2023-05-30;Active;9;frequent shopper;NORTH ROY;ORGANIC SEARCH;2023-08-08;YEARLY;BEVERAGESBURST;GROCERY;BEVERAGES;983;2020-09-16;1;4;For evening kid way thing feeling news.
265;JESSE BASS;0;F;NORTH BARBARA;SVALBARD & JAN MAYEN ISLANDS;2720259895925607;73956 Jessica Loaf Apt. 375, Janetville, TN 52460;2022-07-29;2023-01-21;Churned;1;occasional shopper;NORTH KAREN;ORGANIC SEARCH;2023-07-26;YEARLY;EDUCATIONALGUIDE;BOOKS;EDUCATIONAL;15;2023-06-20;4;0;Bit four million wait family court.
266;RACHEL HOOD;97;M;NORTH DAVIDCHESTER;GAMBIA;2238148616173685;342 Katherine Row Suite 386, Monicachester, AK 39364;2022-02-24;2022-07-05;Churned;2;occasional shopper;EAST DOUGLASSTAD;REFERRAL;2023-06-04;RARELY;FRESHVEGETABLES;GROCERY;VEGETABLES;849;2023-02-10;5;6;Relationship throw from run glass short.
267;BRANDI ANDREWS;0;M;NORTH ANDREWPORT;COOK ISLANDS;2707663155874909;5996 Hernandez Drives Apt. 536, East Mariahberg, SD 65169;2023-06-11;2023-08-22;Active;15;high value;SOUTH JOHN;ORGANIC SEARCH;2023-08-22;MONTHLY;TASTYVEGETABLES;GROCERY;VEGETABLES;44;2020-09-27;1;2;And expect event network skin family support.
268;CHRISTINE ALLEN;0;F;SOUTH SEAN;CAPE VERDE;5445117127415267;USCGC King, FPO AA 32893;2022-06-21;2022-08-11;Churned;11;high value;JOHNSONSHIRE;ORGANIC SEARCH;2022-08-23;RARELY;EDUCATIONALGUIDE;BOOKS;EDUCATIONAL;55;2022-01-20;7;4;System bill quality he by bad.
269;CHERYL WHITE;0;F;SOUTH BRENDAN;INDIA;2711386128621074;16670 Chris Cliff Apt. 373, Paynefort, OK 33923;2022-06-04;2022-11-07;Churned;9;frequent shopper;NORRISSHIRE;ORGANIC SEARCH;2022-11-27;YEARLY;EDUCATIONALTALES;BOOKS;EDUCATIONAL;18;2021-03-27;9;1;Actually four save similar key view knowledge.
270;KELLY PATEL;0;M;GERALDHAVEN;AUSTRALIA;2463675594281292;790 Rogers Skyway Apt. 006, New Bryanhaven, WY 95762;2023-04-13;2023-08-04;Active;6;frequent shopper;NEW SHERIBERG;PAID ADS;2023-08-21;MONTHLY;SOFADELUXE;FURNITURE;SOFA;572;2021-10-29;9;6;Manager food learn student recognize hear.
271;DONALD PENNINGTON;23;M;NORTH AMBERBURGH;UNITED ARAB EMIRATES;5220721301860411;84980 Jason Prairie, South Roy, MN 56169;2022-08-25;2023-07-22;Active;9;frequent shopper;VANCEBURY;REFERRAL;2023-08-23;YEARLY;SHIRTWEAR;CLOTHING;SHIRT;81;2022-11-05;8;3;Network practice plant bring protect data.
272;DAVID PINEDA;0;F;KINGPORT;LAO PEOPLE'S DEMOCRATIC REPUBLIC;5492838033162568;49844 Lucas Summit, Julieberg, MN 13106;2022-07-02;2022-08-08;Churned;2;occasional shopper;NEW MELISSA;PAID ADS;2022-09-02;RARELY;SHIRTFITS;CLOTHING;SHIRT;91;2022-09-22;9;1;Two tell pressure through.
273;CYNTHIA EVANS;0;F;CHUNGPORT;VENEZUELA;5339928049287587;Unit 6270 Box 5722, DPO AE 90479;2022-01-26;2022-10-15;Churned;9;frequent shopper;NORTH SARAHSHIRE;REFERRAL;2023-04-14;YEARLY;COMFORTTABLE;FURNITURE;TABLE;14;2021-12-29;1;1;Something others pressure seven indicate leader clear.
274;ASHLEY CURRY;97;F;LIBOROUGH;SOUTH GEORGIA AND THE SOUTH SANDWICH ISLANDS;2259536484579161;53673 Erin Isle Suite 430, Mooreside, AK 37229;2023-07-09;2023-08-22;Active;7;frequent shopper;EAST BRIANNABOROUGH;REFERRAL;2023-08-25;MONTHLY;MEGASPEAKER;ELECTRONICS;SPEAKER;30;2020-09-26;4;3;Store green course loss increase factor high.
275;VANESSA GARDNER;0;M;BRITTANYFORT;BRAZIL;2296284336195630;Unit 6130 Box 5816, DPO AP 73117;2021-10-16;2023-08-09;Active;8;frequent shopper;SOUTH AUSTIN;REFERRAL;2023-08-18;MONTHLY;THE ART OF FICTION;BOOKS;FICTION;91;2022-09-15;2;5;Few defense true however much every.
276;ALEXANDER PEARSON;0;M;EAST THOMASTOWN;PALESTINIAN TERRITORY;5588715623073360;190 Stacy Groves Apt. 676, South Kristin, TX 02169;2022-12-13;2023-08-03;Active;13;high value;WEST LAURASTAD;ORGANIC SEARCH;2023-08-23;MONTHLY;TASTYSNACKS;GROCERY;SNACKS;41;2023-01-21;8;0;Able book look strategy such.
277;JENNIFER SHORT;0;F;KIMSHIRE;BOUVET ISLAND (BOUVETOYA);2274592383792380;182 Shannon Rapids, Collierton, WA 77088;2023-07-11;2023-08-08;Active;14;high value;KATHLEENVILLE;REFERRAL;2023-08-18;MONTHLY;SOFAPLUS;FURNITURE;SOFA;263;2021-10-13;6;2;Choice sometimes those move black.
278;CAROL MOORE;0;M;VAUGHANVILLE;MACAO;2270677148545563;024 Cook Lakes Suite 337, East Bethany, GU 55122;2023-07-09;2023-08-08;Active;15;high value;KEVINTOWN;REFERRAL;2023-08-17;MONTHLY;FICTIONTALES;BOOKS;FICTION;665;2022-03-03;3;1;Use how big.
279;CASSANDRA MOORE;0;M;LOVEBOROUGH;BOSNIA AND HERZEGOVINA;5296457766729606;79724 Cindy Causeway, Jennystad, KY 26060;2023-01-06;2023-07-27;Active;12;high value;THERESAPORT;PAID ADS;2023-08-05;YEARLY;FRESHVEGETABLES;GROCERY;VEGETABLES;77;2020-10-12;0;2;There still class treatment talk wife.
280;JESSICA CALHOUN;0;F;NEW RYANLAND;MISMATCHED COUNTRY;5587810971575818;034 Jonathan Plains Apt. 354, Loganborough, NJ 23847;2023-08-20;2023-08-25;Active;10;frequent shopper;EAST CYNTHIAMOUTH;ORGANIC SEARCH;2023-08-25;MONTHLY;UNKNOWN;BOOKS;NON-FICTION;92;2021-07-29;1;4;Peace especially to.
281;TAMMY NEAL;0;F;GLENDAMOUTH;JAPAN;2619146869939306;3395 Nunez Summit Apt. 048, Port Ginaland, NE 38011;2021-12-25;2023-01-16;Churned;4;occasional shopper;PORT RYAN;PAID ADS;2023-06-03;YEARLY;JACKETFITS;CLOTHING;JACKET;507;2021-12-05;5;0;Information up early upon thought shake.
282;DANIEL LYNN;70;M;BRIGHTLAND;SVALBARD & JAN MAYEN ISLANDS;2704164830353479;91854 Michelle Radial, Collinshaven, IA 11966;2022-09-06;2023-05-03;Churned;9;frequent shopper;EAST CRYSTAL;PAID ADS;2023-06-17;YEARLY;TASTYSNACKS;GROCERY;SNACKS;57;2021-05-17;6;0;Middle voice allow fish daughter also sell.
283;VIRGINIA DAVIS;64;M;MARISSALAND;BHUTAN;2239306947961314;807 Amanda Cove, Port Jeremiahview, SD 69008;2022-09-10;2023-02-05;Churned;15;high value;JILLCHESTER;PAID ADS;2023-02-25;YEARLY;SPEAKERMASTER;ELECTRONICS;SPEAKER;217;2022-10-16;2;1;Author would report month.
284;HENRY HARPER MD;63;M;CONLEYMOUTH;LAO PEOPLE'S DEMOCRATIC REPUBLIC;5537277791084986;638 Lewis Lake, Dawnville, NH 97598;2022-03-06;2022-06-16;Churned;10;frequent shopper;EAST KYLIETON;PAID ADS;2022-10-22;RARELY;PHONEPRO;ELECTRONICS;PHONE;82;2022-03-08;3;3;Lot official tell candidate national program forward range.
285;TAYLOR WARD;0;M;STEVETOWN;ETHIOPIA;2716790482965644;2474 Wilkinson Trafficway Suite 810, South Louis, VI 83959;2022-06-07;2023-08-06;Active;8;frequent shopper;SKINNERBERG;PAID ADS;2023-08-24;MONTHLY;SPEAKERMASTER;ELECTRONICS;SPEAKER;525;2023-07-03;3;2;Trial work cause action clear increase field.
286;BONNIE MARTIN;41;F;GAILBERG;SAINT BARTHELEMY;2224196329260261;6310 Francis Port, Alexandraside, VI 60631;2023-03-04;2023-04-07;Churned;2;occasional shopper;NEW ANGELATOWN;ORGANIC SEARCH;2023-06-20;YEARLY;ULTRALAPTOP;ELECTRONICS;LAPTOP;980;2022-05-11;3;1;Fight gas sound forget place.
287;STEPHEN MULLINS;0;M;ROYBURGH;GUADELOUPE;5365673111664076;8467 Hensley Shore, South Brianna, MN 10094;2022-02-20;2022-11-30;Churned;10;frequent shopper;FISHERTOWN;PAID ADS;2023-02-06;YEARLY;COMFORTCHAIR;FURNITURE;CHAIR;100;2022-05-13;8;1;Floor protect kind store.
288;JORDAN JONES;0;F;PORT GARRETT;SOMALIA;2279188378845435;24430 Brian Parkway, West Richard, ME 36073;2022-04-30;2022-09-02;Churned;4;occasional shopper;WEST ANDREAFORT;ORGANIC SEARCH;2023-02-02;YEARLY;JACKETFITS;CLOTHING;JACKET;13;2023-05-04;4;3;Child suffer shoulder who prevent owner keep sell.
289;CHRISTOPHER FLOYD;36;M;NEW KATHERINEBURY;HONG KONG;2235162927309501;914 Moore Via, East Christopher, AZ 20283;2022-09-18;2023-04-24;Churned;10;frequent shopper;CHRISTOPHERBURY;ORGANIC SEARCH;2023-06-02;YEARLY;COMFORTSOFA;FURNITURE;SOFA;140;2021-11-08;10;1;No life century fish letter instead find fight.
290;RICARDO RANDOLPH;33;F;EVANSSHIRE;EGYPT;2228247028833811;10271 Jessica Bypass, Georgeshire, WI 34216;2023-03-08;2023-06-20;Active;6;frequent shopper;MUELLERBOROUGH;REFERRAL;2023-08-20;YEARLY;SNACKSBURST;GROCERY;SNACKS;944;2021-01-30;2;5;Mrs reflect performance mean safe have road.
291;ROSE JOHNSTON;0;M;LAKE ANN;PALAU;2268504585425683;8476 Natasha Station, South Christy, WI 59750;2023-04-14;2023-08-08;Active;12;high value;EAST CHRISTOPHERBURGH;REFERRAL;2023-08-15;MONTHLY;JACKETWEAR;CLOTHING;JACKET;88;2022-02-07;2;1;Become cut develop send hundred.
292;ANDREW SHIELDS;0;M;PORT BARRY;DOMINICAN REPUBLIC;2716187211688342;37659 House Track Suite 675, New Valeriechester, LA 55349;2022-08-06;2023-02-12;Churned;14;high value;WASHINGTONFORT;REFERRAL;2023-02-15;YEARLY;ULTRALAPTOP;ELECTRONICS;LAPTOP;83;2022-09-24;3;6;Program answer yourself story out.
293;SARA AYALA;41;F;WEST RICARDOCHESTER;BELARUS;2709999016283726;USS Torres, FPO AA 36390;2023-05-19;2023-06-08;Active;8;frequent shopper;NEW KENNETHSIDE;PAID ADS;2023-08-05;YEARLY;EDUCATIONALGUIDE;BOOKS;EDUCATIONAL;4;2021-03-13;2;1;Better high stock standard truth.
294;ALEXIS SWANSON;14;M;WEST MARK;TOGO;2256256826090248;93083 Russell Drive, North Maryview, NC 44549;2022-01-20;2022-10-28;Churned;11;high value;ARMSTRONGBURGH;ORGANIC SEARCH;2023-04-19;YEARLY;FICTIONGUIDE;BOOKS;FICTION;46;2021-08-15;2;0;Pick either throw give policy feeling kind.
295;PATRICK GAINES;0;M;LAKE LINDSAY;PERU;5465342862708412;317 Duncan Spur Suite 318, Lake Mariahtown, MP 81451;2022-04-28;2022-10-06;Churned;5;occasional shopper;PORT AMANDA;PAID ADS;2023-01-23;YEARLY;THE ART OF FICTION;BOOKS;FICTION;613;2023-03-11;4;3;Plan agree central prevent admit.
296;WILLIAM WILSON;0;F;SOUTH MEGAN;BHUTAN;2274380874530026;942 Mcintyre Corners Apt. 591, West Cynthia, FL 21601;2022-02-25;2023-06-27;Active;14;high value;WEST JOSEPH;PAID ADS;2023-07-15;YEARLY;SHIRTFITS;CLOTHING;SHIRT;100;2021-07-27;7;2;Develop direction put main war near.
297;TOM COOPER DDS;17;M;EAST BETTY;UKRAINE;2267594971280488;USCGC Rogers, FPO AE 97112;2023-07-21;2023-08-22;Active;8;frequent shopper;WEST MICHELLEBOROUGH;ORGANIC SEARCH;2023-08-24;MONTHLY;FRESHVEGETABLES;GROCERY;VEGETABLES;25;2021-11-16;2;2;Those form world various town.
298;TIFFANY DANIELS;67;F;LISAHAVEN;ESTONIA;2239533416120698;4012 Humphrey Drive, South Darren, SD 79785;2022-12-10;2023-04-21;Churned;5;occasional shopper;WEST DAWN;REFERRAL;2023-06-20;YEARLY;TASTYVEGETABLES;GROCERY;VEGETABLES;941;2021-12-03;2;1;Ability finish huge four imagine friend customer.
299;SEAN CASEY;0;F;RICHARDVIEW;ERITREA;2262222841320087;40646 Johnson Inlet Apt. 811, Carterstad, GA 65017;2022-03-17;2023-04-30;Churned;15;high value;HANNAHFURT;ORGANIC SEARCH;2023-05-28;YEARLY;PANTSFITS;CLOTHING;PANTS;91;2021-05-03;2;0;Prevent region rich activity report.
300;PETER TURNER;0;M;WEST MICHAEL;ARGENTINA;2308281712730945;521 Alexander Canyon Suite 026, West Pamela, MI 84470;2023-06-13;2023-07-16;Active;6;frequent shopper;PINEDAPORT;PAID ADS;2023-07-30;YEARLY;UNKNOWN;FURNITURE;SOFA;47;2023-02-06;7;4;Success just decision thank spend manager.
301;MARVIN ZAVALA;0;F;CHRISTOPHERVIEW;NIGERIA;5391724870890010;3690 Jonathan Course, Davidsonmouth, ND 24554;2021-11-16;2021-12-18;Churned;13;high value;TAYLORHAVEN;PAID ADS;2022-10-07;RARELY;SOFAPLUS;FURNITURE;SOFA;41;2020-12-10;3;0;Guy even during affect.
302;DWAYNE WILLIAMS;20;M;SOUTH LISA;LITHUANIA;2228873502469853;33559 Brian Track Suite 527, Stewartmouth, MN 67453;2022-08-22;2022-11-20;Churned;13;high value;EAST AARONTOWN;PAID ADS;2023-01-04;YEARLY;COMFORTTABLE;FURNITURE;TABLE;491;2021-10-31;8;0;Trip coach fill western.
303;JENNIFER RUSSELL;0;F;SOUTH AMANDAVIEW;LITHUANIA;2256040154311982;63699 Felicia Crescent, North Annetteview, CO 14945;2022-10-13;2023-05-24;Churned;6;frequent shopper;JOHNSONSIDE;ORGANIC SEARCH;2023-06-06;YEARLY;FRESHBEVERAGES;GROCERY;BEVERAGES;845;2022-12-25;4;3;Worry see water.
304;FRANK MITCHELL MD;82;F;WEST DENNIS;BRITISH VIRGIN ISLANDS;2418350918485625;2956 Stokes Views Apt. 042, South Holly, OR 52709;2022-02-27;2023-07-11;Active;1;occasional shopper;LAKE CHRISTOPHER;REFERRAL;2023-08-13;YEARLY;PROSHIRT;CLOTHING;SHIRT;10;2021-12-28;4;4;Ten rest already.
305;LAUREN JOHNSON;0;F;KATHRYNTOWN;BAHRAIN;2240416869751499;09531 Evans Island, East Kristina, DE 42880;2022-04-07;2023-03-16;Churned;14;high value;LAKE HANNAHBURGH;PAID ADS;2023-05-16;YEARLY;LAPTOPPRO;ELECTRONICS;LAPTOP;54;2023-01-17;0;4;Real book drug human up record number.
306;TIFFANY GOOD;85;F;WEST ANDREWMOUTH;SPAIN;2569433355828239;7236 Wagner Inlet Apt. 032, East Anthony, ME 48343;2022-04-28;2022-11-23;Churned;5;occasional shopper;LAKE ANDREWMOUTH;PAID ADS;2023-04-30;YEARLY;SHIRTFITS;CLOTHING;SHIRT;43;2022-08-25;5;6;Subject firm example middle.
307;GEORGE WILLIAMS;87;F;LAKE KIM;SLOVENIA;2583059060095335;1418 Nelson Creek Apt. 742, Hobbsview, MT 08360;2023-01-15;2023-03-06;Churned;8;frequent shopper;JOSEPHBURGH;ORGANIC SEARCH;2023-08-22;YEARLY;SPEAKERPRO;ELECTRONICS;SPEAKER;40;2022-04-06;1;2;House sport thought police buy probably.
308;TIMOTHY GIBBS;62;F;BIRDCHESTER;TURKEY;2719927992866774;Unit 2040 Box 7332, DPO AA 37397;2022-12-06;2023-08-07;Active;15;high value;SOUTH WALTER;REFERRAL;2023-08-22;MONTHLY;SHIRTFITS;CLOTHING;SHIRT;693;2023-02-10;3;1;Similar professor president state continue pay former.
309;ROBERT MAYNARD;0;F;WEST DESTINYVILLE;NAURU;2231604370384592;31366 Lisa Walk Apt. 462, West Jeremyfurt, MD 21827;2022-09-21;2023-08-24;Active;6;frequent shopper;TODDSTAD;REFERRAL;2023-08-24;MONTHLY;PROPANTS;CLOTHING;PANTS;361;2022-10-13;2;0;General mouth worker tend various board send.
310;JESSICA DAVIS;13;M;PORT JOSEPH;LEBANON;5422404502717708;104 Bailey Ridges Apt. 608, East Amber, PW 31464;2023-02-01;2023-08-20;Active;1;occasional shopper;BRUCETON;ORGANIC SEARCH;2023-08-23;MONTHLY;TASTYBEVERAGES;GROCERY;BEVERAGES;18;2022-01-09;5;4;Minute act board power.
311;CHRISTOPHER VASQUEZ;76;M;DANIELPORT;PORTUGAL;2265950605282054;52126 Annette Park, Heatherborough, OH 79402;2021-12-03;2023-02-13;Churned;3;occasional shopper;NORTH GREGORYMOUTH;PAID ADS;2023-06-04;YEARLY;SNACKSBURST;GROCERY;SNACKS;58;2023-02-27;7;6;Part run rise professor standard rather.
312;JEFFREY ALLEN;0;M;NEW GENELAND;GUERNSEY;5564325752717692;Unit 4147 Box 8124, DPO AE 04063;2023-04-22;2023-08-18;Active;4;occasional shopper;NORTH KEITH;PAID ADS;2023-08-18;MONTHLY;NON-FICTIONTALES;BOOKS;NON-FICTION;75;2022-01-19;8;0;Age nature morning class direction.
313;KATHRYN FORBES;0;F;WEST JENNIFER;SENEGAL;2565209606888956;399 Joshua Corner, East Matthew, ND 96409;2023-05-14;2023-06-28;Active;15;high value;WEST JOSEPH;ORGANIC SEARCH;2023-07-04;YEARLY;SHIRTWEAR;CLOTHING;SHIRT;44;2022-12-24;2;5;Wife physical represent.
314;RACHEL BROWNING;0;F;LAKE TYLER;BENIN;2251768900114913;USS Reynolds, FPO AA 53429;2022-09-13;2022-11-30;Churned;13;high value;SOUTH JAMESCHESTER;REFERRAL;2023-01-31;YEARLY;TABLEDELUXE;FURNITURE;TABLE;34;2021-02-19;0;5;Measure check able message.
315;STEVEN WOLF;0;M;NORTH JACQUELINE;BRITISH INDIAN OCEAN TERRITORY (CHAGOS ARCHIPELAGO);2284639858659152;0271 Katherine Via Apt. 159, Tuckerfurt, SD 40137;2021-11-13;2022-01-29;Churned;3;occasional shopper;JULIEPORT;ORGANIC SEARCH;2023-03-17;RARELY;CHAIRDELUXE;FURNITURE;CHAIR;206;2022-06-14;2;6;Generation new explain I dark sea friend.
316;JESSICA HARRISON;32;M;PORT BERNARDBOROUGH;CAMBODIA;2720933792777838;831 Wendy Roads Apt. 800, Lake Emma, IA 90407;2022-04-10;2022-05-07;Churned;2;occasional shopper;KENDRAMOUTH;REFERRAL;2022-08-28;RARELY;LAPTOPMASTER;ELECTRONICS;LAPTOP;627;2020-09-05;3;1;Short first if red how.
317;RANDY JACKSON;0;M;ANDREWCHESTER;GAMBIA;5366040321256235;860 Kenneth Courts, Stacieberg, WA 31240;2023-06-19;2023-06-22;Active;5;occasional shopper;CHADLAND;REFERRAL;2023-07-18;YEARLY;LAPTOPPRO;ELECTRONICS;LAPTOP;99;2020-12-19;9;2;Because future right ask save suffer three group.
318;AMY GRAY;0;M;SOUTH CHARLESTON;CONGO;2426670590901320;3957 Cook Locks, Port Jason, AK 71417;2022-03-29;2022-07-01;Churned;7;frequent shopper;WEST JOHNNYHAVEN;REFERRAL;2022-08-15;RARELY;SOFADELUXE;FURNITURE;SOFA;40;2020-11-06;1;4;Read talk choose pay also three health.
319;JENNIFER SIMMONS;40;F;ANDERSENBURY;KUWAIT;2259870111296463;60203 Fowler Land Suite 760, New Richard, NC 52307;2022-08-04;2023-04-20;Churned;15;high value;PORT SONYAFORT;PAID ADS;2023-04-24;YEARLY;SOFADELUXE;FURNITURE;SOFA;25;2021-09-04;3;3;Carry today consider six camera soon structure.
320;JOSHUA PEREZ;0;M;POWELLLAND;MISMATCHED COUNTRY;2714576911110858;518 Cynthia Curve, New Ashleymouth, RI 94419;2022-09-30;2023-02-13;Churned;4;occasional shopper;NEW ANDREA;ORGANIC SEARCH;2023-06-05;YEARLY;UNKNOWN;FURNITURE;TABLE;75;2022-10-12;2;6;Painting me company analysis.
321;SHAWN POTTER;0;M;ERICALAND;BARBADOS;2232834025310150;1513 Taylor Trace Apt. 053, Gomezport, UT 37043;2022-09-30;2023-05-04;Churned;6;frequent shopper;PAULBURY;PAID ADS;2023-05-14;YEARLY;THE ART OF EDUCATIONAL;BOOKS;EDUCATIONAL;832;2023-03-21;4;5;Your nation voice research exactly project.
322;AMANDA SANTANA;0;F;CHRISTENSENFORT;MARTINIQUE;2252759002220723;852 Charles Rue Apt. 598, East Philip, OR 66781;2022-06-03;2022-08-24;Churned;2;occasional shopper;PORT MARCUSMOUTH;REFERRAL;2022-08-26;RARELY;THE ART OF FICTION;BOOKS;FICTION;124;2022-12-12;3;0;Air nor way race main go.
323;LANCE HANNA DDS;0;M;BROWNBERG;PHILIPPINES;5326833767425754;7663 Larson Cape, Robertsbury, OK 23653;2021-09-15;2022-08-20;Churned;2;occasional shopper;NORTH MEGAN;ORGANIC SEARCH;2022-10-14;RARELY;PANTSWEAR;CLOTHING;PANTS;84;2022-05-10;10;1;Night success available sell month.
324;SCOTT INGRAM;0;F;EAST AARON;BOUVET ISLAND (BOUVETOYA);5114051206818093;195 Ryan Shoals Suite 378, Port John, ID 09178;2021-12-23;2022-04-28;Churned;15;high value;NEW ALEXANDER;REFERRAL;2022-07-04;RARELY;SPEAKERMASTER;ELECTRONICS;SPEAKER;565;2021-03-03;4;3;Choose inside eye.
325;DUSTIN PATTON;0;F;EMILYFORT;QATAR;2720210283832384;84246 Williams Prairie Apt. 792, Geneshire, MT 92192;2023-08-12;2023-08-12;Active;7;frequent shopper;BAKERMOUTH;PAID ADS;2023-08-24;MONTHLY;LAPTOPMASTER;ELECTRONICS;LAPTOP;822;2021-09-07;5;3;Life form away decide which they.
326;NICHOLAS JOHNSON;0;M;JOHNCHESTER;SAINT BARTHELEMY;2720555968652493;5162 Johnson Burgs, South Benjaminborough, ME 65050;2023-02-13;2023-04-08;Churned;9;frequent shopper;NEW NICOLE;ORGANIC SEARCH;2023-06-24;YEARLY;BEVERAGESBURST;GROCERY;BEVERAGES;151;2020-10-12;10;1;American according data.
327;SCOTT TRUJILLO DDS;52;M;SOUTH JASON;NORTHERN MARIANA ISLANDS;2228472877687122;16814 Andre Stravenue, Josemouth, MN 76411;2022-11-12;2023-06-08;Active;2;occasional shopper;GALVANPORT;ORGANIC SEARCH;2023-07-02;YEARLY;COMFORTSOFA;FURNITURE;SOFA;97;2020-10-20;2;3;Blood record through sit.
328;MAUREEN JONES;0;M;NEW CHAD;TAJIKISTAN;2243031938497342;8964 Ashley Stravenue Apt. 425, New Erica, NM 00787;2021-09-14;2023-03-23;Churned;10;frequent shopper;PORT ROBINHAVEN;PAID ADS;2023-04-23;YEARLY;PROSHIRT;CLOTHING;SHIRT;13;2023-01-30;5;0;By thank education move lawyer step picture.
329;JENNY MADDEN;0;M;NEW LAURIE;BARBADOS;2710595561801032;25492 Amanda Wells Suite 599, Glassstad, ND 04037;2022-10-26;2023-02-10;Churned;15;high value;CRUZTOWN;PAID ADS;2023-08-08;YEARLY;TABLEDELUXE;FURNITURE;TABLE;944;2022-05-31;4;0;Child decade gun education.
